ID,NAME,MSINI,A,PER,ECC,OM,T0,K,OTHERNAME,HD,HR,HIPP,GL,KEPID,R,DENSITY,GRAVITY
232,Kepler-18 d,0.0515706,0.117171,14.85888,0.000521567,278.379,2455169.523,,KOI-137,,,,,,0.622714,0.27,2.93962
233,mu Ara e,0.543322,0.93961,310.54999,0.0666,189.6,2452708.7,14.91,,160691,6585,86796,,,,,0
234,HD 136118 b,11.6809,2.33328,1187.3,0.338,319.9,2452999.5,210.7,,136118,,74948,,,,,0
235,HD 6434 b,0.397195,0.142061,21.997999,0.17,156,2451490.8,34.2,,6434,,5054,,,,,0
236,HD 5319 b,1.6984,1.63515,674.59998,0.12,76.3,2453067.7,33.6,,5319,,4297,,,,,0
237,HD 231701 b,1.08667,0.555583,141.60001,0.1,46,2453180,39,,231701,,96078,,,,,0
238,PH-2 b,,0.825444,282.5255,0.41,3.43775,2455163.277,,KIC 12735740,,,,,,0.902041,,
239,CoRoT-18 b,3.48002,0.0295483,1.9000693,0.04,,2455321.724,590,2MASS J06324137-0001537,,,,,,1.31,2.2,3.7049
240,HD 75898 b,2.51504,1.18906,418.20001,0.1,263.7,2452907,58.2,,75898,,43674,,,,,0
241,MOA-2008-BLG-310L b,,,,,,,,,,,,,,,,
242,GJ 1214 b,0.0203507,0.0143253,1.58040482,0,90,2454980.749,12.2,NLTT 44431,,,,1214,,0.2389,1.87,2.95482
243,16 Cyg B b,1.63997,1.66027,798.5,0.681,85.8,2446549.1,50.5,,186427,7504,96901,765.1,,,,0
244,HAT-P-25 b,0.566683,0.0465813,3.652836,0.032,271,2455175.03,74.3,2MASS J03134450+2511506,,,,,,1.19,3,2.99823
245,HD 213240 b,4.53249,1.88529,882.7,0.421,201,2451499,96.6,,213240,,111143,,,,,0
246,HD 12661 b,2.3408,0.838172,262.70861,0.376834,295.978,2454152.755,73.5609,,12661,,9683,,,,,0
247,Kepler-9 c,0.16858,0.22473,38.90861,0.132575,101.31,2455106.7,10.2,KOI-377,,,,,,0.823,0.383,2.78861
248,HD 74156 c,8.24664,3.8997,2520,0.38,268,2448416,115,,74156,,42723,,,,,0
249,HD 20794 c,0.00743617,0.203628,40.114,0,0,2454766.756,0.56,2MASS J03195563-4304112,20794,1008,15510,,,,,
250,Kepler-31 c,0,0.254502,42.6318,0,90,2454974.191,,KOI-935,,,,,,0.374365,,
251,Kepler-82 b,,0.16455,26.444,,,,,KOI-880,,,,,,0.357,,
252,HD 38801 b,10.0105,1.6471,696.3,0,0,2453966,200,,38801,,27384,,,,,
253,HD 132563 B b,1.49247,2.62431,1544,0.22,158,2452593,26.7,,132563,,73261,,,,,
254,Kepler-61 b,,0.257458,59.87756,0,,,,KOI-1361,,,,,,0.191639,,
255,GJ 667 C c,0.0134408,0.125092,28.13,0.34,166,2454462,2,2MASS J17185868-3459483,,,,667,,,,
256,HD 207832 c,0.730294,2.1118,1155.7,0.27,121.6,2453191.073,15.3,2MASS J21523626-2601352,207832,,107985,,,,,
257,Kepler-80 b,,0.0645109,7.053,,,,,KOI-500,,,,,,0.236,,
258,Kepler-44 b,1.01508,0.0454854,3.24674,0,90,2454966.378,124,KOI-204,,,,,,1.24,0.65,3.21264
259,HD 5891 b,5.22845,0.636168,177.11,0.066,351,2455432,178.5,2MASS J01003319+2017330,5891,,4715,,,,,
260,HD 173416 b,2.71808,1.16272,323.6,0.21,254,2453465.8,51.8,,173416,,91852,,,,,0
261,HD 76700 b,0.232142,0.0511051,3.97097,0.095,30,2451213.32,27.6,,76700,,43686,,,,,0
262,HD 39091 b,10.088,3.34651,2151,0.6405,330.24,2447820,196.4,pi Men,39091,2022,26394,9189,,,,0
263,HD 7449 b,1.3131,2.33982,1275,0.82,339,2455298,41.59,2MASS J01142933-0502504,7449,,5806,,,,,
264,HD 149026 b,0.359837,0.0431325,2.8758911,0,90,2453317.838,43.3,,149026,,80838,,,0.654,1.59,3.13174
265,OGLE-2006-BLG-109L c,0.239279,4.8168,5405.7,0.27,,,4.2,,,,,,,,,
266,Qatar-2 b,2.483,0.0215077,1.3371182,0,90,2455624.267,558.7,2MASS 13503740-0648145,,,,,,1.144,2.20116,3.67189
267,HD 216437 b,2.16817,2.48556,1353,0.319,67.7,2450605,39,rho Ind,216437,8701,113137,,,,,0
268,Kepler-87 b,1.0213,0.477022,114.73635,0.036,238.6,2456193.706,,KOI-1574,,,,,,1.21,0.729,
269,HAT-P-7 b,1.77867,0.037964,2.204737,0,90,2454954.357,211.8,GSC 03547-01402,,,,,,1.363,0.876,3.30391
270,HD 49674 b,0.101571,0.0571073,4.94737,0.087,264,2451882.38,12.04,,49674,,32916,,,,,0
271,HD 82943 b,1.73352,1.183,441.2,0.219,284,2450931.41,43.6,,82943,,47007,,,,,0
272,WASP-38 b,2.70891,0.0758454,6.87188,0.028,337.8,2455320.093,252,2MASS J16155036+1001572,146389,,,,,1.09,2.06,3.74988
273,HD 77338 b,0.0498139,0.0612143,5.7361,0.09,223.454,2453355.6,5.96,2MASS J09011248-2531371,77338,,44291,,,,,
274,Kepler-29 c,0,0.109809,13.2907,0,90,2454978.471,,KOI-738,,,,,,0.25849,,
275,HD 220773 b,1.44975,4.94302,3724.7,0.51,259,2453866.4,20,2MASS J23262744+0838376,220773,,115697,,,,,
276,WASP-6 b,0.521174,0.0428704,3.361006,0.054,97.4028,2454596.49,74.3,USNO-B1.0 0673-1077008,,,,,,1.224,0.3591,2.93567
277,HD 159868 c,0.73,1.02595,352.3,0.15,290,2453239,20.1,,159868,,86375,,,,,0
278,HD 137388 b,0.227816,0.88883,330,0.36,86,2455209,7.94,2MASS J15353994-8012164,137388,,76351,,,,,
279,Kepler-52 c,,0.10281,16.3850021,,,,,KOI-775,,,,,,0.164007,,
280,HD 100777 b,1.16502,1.03378,383.70001,0.36,202.7,2453456.2,34.9,,100777,,56572,,,,,0
281,HAT-P-5 b,1.05391,0.0407152,2.788491,0,90,2454241.777,138,GSC 02634-01087,,,,,,1.254,0.66,3.21949
282,HD 222582 b,7.63003,1.33658,572.38,0.725,319.01,2450706.7,276.3,,222582,,116906,,,,,0
283,Kepler-16 b,0.333,0.646795,228.776,0.0069,318,2455346.5,,KOI-1611,,,,,,0.7538,1.03091,
284,Kepler-32 d,,0.128069,22.7802,0,90,2454988.2,,KOI-952,,,,,,0.240663,,
285,Kepler-58 c,,0.119982,15.5741568,,,,,KOI-1336,,,,,,0.254925,,
286,WASP-33 b,0,0.0255483,1.21986983,0,90,2454590.179,0,2MASS J02265106+3733017,15082,,11397,,,1.497,0.00122703,
287,HD 128311 b,1.4572,1.08649,454.2,0.345,63,2453835,46.5,,128311,,71395,3860,,,,0
288,MOA-2011-BLG-293L b,,,,,,,,,,,,,,,,
289,HD 181433 d,0.535482,3.02208,2172,0.48,330,2452154,11.3,,181433,,95467,756.1,,,,0
290,TrES-1 b,0.752484,0.0392516,3.030065,0,90,2453901.904,115.2,,,,,,,1.067,0.769,3.22003
291,HD 4208 b,0.807457,1.65355,828,0.052,345,2451040,19.06,,4208,,3479,9024,,,,0
292,Kepler-62 e,,0.426299,122.3874,0.13,292.62,2454932.038,,KOI-701,,,,,,0.143507,,
293,HD 5388 b,1.96509,1.76349,777,0.4,324,2454570,41.7,,5388,,4311,,,,,
294,CoRoT-10 b,2.75448,0.105463,13.2406,0.53,218.9,2454990.85,301,2MASS 19241528+0044461,,,,,,0.97,3.7,3.93186
295,11 UMi b,11.0873,1.53498,516.22,0.08,117.63,2452861.04,189.7,,136726,5714,74793,,,,,0
296,WASP-62 b,0.562022,0.0567187,4.411953,0,90,2455855.392,60,,,,,,,1.39,0.27846,2.88574
297,HD 4732 c,2.36493,4.60219,2732,0.23,118,2456093,24.4,2MASS J00491393-2408119,4732,228,3834,,,,,
298,kappa CrB b,1.9747,2.71619,1300,0.125,83.1,2453899,27.3,,142091,5901,77655,,,,,0
299,Kepler-25 b,0,0.0708678,6.23855,0,90,2454973.513,,KOI-244,,,,,,0.23175,,
300,HD 99492 b,0.106179,0.121908,17.0431,0.254,219,2450468.7,9.8,83 Leo B,99492,,55848,429,,,,0
301,HD 204941 b,0.26689,2.55427,1733,0.37,228,2456015,5.94,2MASS J21322353-2057264,204941,,106353,,,,,
302,HD 196050 b,2.8434,2.51056,1378,0.228,187,2450843,49.7,,196050,,101806,,,,,0
303,WASP-11 b,0.539752,0.0436466,3.722465,0,90,2454473.056,82.1,HAT-P-10,,,,,,0.91,0.9177,3.37465
304,HD 111232 b,6.84182,1.97489,1143,0.2,98,2451230,159.3,,111232,,62534,,,,,0
305,HD 117618 b,0.176652,0.174852,25.827,0.42,254,2450832.2,12.8,,117618,,66047,,,,,0
306,HD 180902 b,1.56395,1.38103,479,0.09,300,2454858.291,30.7,,180902,,94951,,,,,
307,HIP 12961 b,0.354314,0.25497,57.435,0.166,272,2454428.4,24.71,2MASS J02464286-2305119,,,12961,,,,,
308,HD 63454 b,0.384566,0.0362523,2.818049,0,87.3,2455583.24,64.19,,63454,,37284,,,,,0
309,BD +48 738 b,1.2654,1.11234,392.6,0.2,358.9,2454457.2,31.9,2MASS J02425045+4935130,,,,,,,,
310,Kepler-62 c,,0.0928559,12.4417,0.186815,254.476,2454960.666,,KOI-701,,,,,,0.0481326,,
311,NGC 2423 3 b,6.63106,1.6555,714.3,0.21,18,2453213,137.6,2MASS J07370922-1354239,,,,,,,,
312,Kepler-33 c,,0.118876,13.17562,0,90,2454976.676,,KOI-707,,,,,,0.28523,9.91915,3.71261
313,HD 50499 b,1.74473,3.87172,2457.8717,0.253675,258.799,2451220.052,23.0219,,50499,,32970,,,,,0
314,CoRoT-14 b,7.56823,0.0269122,1.51214,0,90,2454787.669,1230,2MASS J06534181-0532097,,,,,,1.09,7.3,4.20575
315,CoRoT-4 b,0.717419,0.0903166,9.20205,0,90,2454141.364,63,GSC 04800-02187,,,,,,1.19,0.525,3.13633
316,HAT-P-19 b,0.292129,0.0466409,4.008778,0.067,256,2454798.988,42,2MASS J00380401+3442416,,,,,,1.132,0.25,2.75335
317,Kepler-24 c,0,0.105496,12.3318,0,90,2454970.586,,KOI-1102,,,,,,0.249577,,
318,Kepler-47 c,,0.895669,303.158,0,,,,KOI-3154,,,,,,0.419091,,
319,GJ 163 b,0.033876,0.0606753,8.631,0.11,97,2455042.253,6.22,2MASS J04091567-5322254,,,19394,,,,,
320,Kepler-33 f,,0.253499,41.02902,0,90,2455005.5,,KOI-707,,,,,,0.39754,5.34815,3.59288
321,HD 2039 b,5.92499,2.19755,1120,0.715,344.1,2452041,153,,2039,,1931,,,,,0
322,Kepler-36 c,0.0254888,0.128401,16.23855,0,90,2454955.913,,KOI-277,,,,,,0.327926,0.89,
323,XO-2 b,0.566435,0.0368367,2.615838,0,90,2454147.749,85,TYC 3413-5-1,,,,,,0.983,0.741,3.16753
324,Kepler-11 d,0.0191935,0.154764,22.6845,0.0036055,146.31,2455597.533,1.426,KOI-157,,,,,,0.2781,1.28,2.7067
325,HD 187085 b,0.803694,2.02754,986,0.47,94,2450912,17,,187085,,97546,,,,,0
326,HD 118203 b,2.13623,0.0702997,6.1335,0.309,155.7,2453394.23,217,,118203,,66192,,,,,0
327,WASP-63 b,0.377818,0.0574592,4.37808,0,90,2455921.653,39,,,,,,,1.43,0.17238,2.68871
328,Kepler-30 b,0,0.185524,29.334,0.042,329,2455237.133,,KOI-806,,,,,,0.347625,1.02,
329,HD 175167 b,7.77836,2.40085,1290,0.54,342,2453598,161,2MASS J19000083-6956393,175167,,93281,,,,,
330,HAT-P-16 b,4.1951,0.0413275,2.77596,0.036,214,2455025.754,531.1,2MASS J00381756+4227470,,,,,,1.289,2.42,3.79537
331,TrES-4 b,0.913019,0.0509243,3.553945,0,90,2454230.905,97.4,GSC 02620-00648,,,,,,1.783,0.213,2.87047
332,NGC 4349 127 b,9.88561,1.68103,677.8,0.19,61,2454114,188,2MASS J12240740-6152126,,,,,,,,
333,GJ 676 A b,4.89701,1.81539,1056.8,0.326,85.7,2455411.9,129.3,2MASS J17301119-5138132,,,85647,676,,,,
334,Kepler-60 b,,0.0750769,7.1316185,,,,,KOI-2086,,,,,,0.203227,,
335,HD 47186 c,0.348285,2.38704,1353.6,0.249,26,2452010,6.65,,47186,,31540,,,,,0
336,HIP 14810 d,0.5806,1.88623,950.69651,0.165251,296.832,2454345.169,12.2451,,,,14810,,,,,0
337,HD 142245 b,1.89038,2.77628,1299,0,234,2454760,24.8,2MASS J15525629+1525507,142245,,77783,,,,,
338,Kepler-59 c,,0.136086,17.9801235,,,,,KOI-1529,,,,,,0.176486,,
339,HD 30177 b,9.68782,3.80821,2770,0.193,34,2451437,146.8,,30177,,21850,,,,,0
340,Kepler-4 b,0.0772272,0.0455763,3.21346,0,90,2454956.613,9.3,KOI-7,,,,,,0.357,1.91,3.15966
341,HD 190647 b,1.90296,2.07238,1038.1,0.18,232.5,2453868,36.4,,190647,,99115,,,,,0
342,HD 97658 b,0.024749,0.0796373,9.4909,0.064,351,2596361.805,2.9,2MASS J11143316+2542374,97658,,54906,,,0.208761,3.44,3.19176
343,Kepler-57 b,,0.0588891,5.7293196,,,,,KOI-1270,,,,,,0.195205,,
344,HD 106270 b,11.0869,4.37827,2890,0.402,15.4,2454830,142.1,2MASS J12133728-0930482,106270,,59625,,,,,
345,HD 30856 b,1.85721,2.04004,912,0.117,180,2455260,31.9,2MASS J04501787-2422077,30856,,22491,,,,,
346,Kepler-80 b,,,9.522,,,,,KOI-500,,,,,,0.249,0,0
347,HD 48265 b,1.20645,1.59435,762,0.24,289,2452892,29,,48265,,31895,,,,,0
348,HD 89307 b,1.79148,3.26609,2166,0.2,4.9,2452346.4,28.9,,89307,,50473,,,,,0
349,HD 163607 c,2.2924,2.41789,1314,0.12,265,2455085,40.4,2MASS J17534049+5623309,163607,,87601,,,,,
350,WASP-49 b,0.376728,0.0378972,2.7817387,0,90,2455580.594,56.8,,,,,,,1.115,0.361998,2.87818
351,Kepler-37 c,,0.139784,21.301886,0.0984886,66.038,2455012.44,,KOI-245,,,,,,0.066,,
352,Kepler-55 b,,0.153688,27.9481449,,,,,KOI-904,,,,,,0.216597,,
353,HD 4313 b,2.17173,1.13327,356,0.041,85.59,2454804,46.9,,4313,,3574,,,,,
354,HR 8799 b,,67.4293,164253,0,,,,,218396,8799,114189,,,1.2,,
355,HD 2638 b,0.477325,0.0435743,3.4442,0,0,2453323.206,67.4,,2638,,2350,,,,,0
356,HD 168443 b,7.69745,0.29385,58.11247,0.52883,172.923,2455626.199,475.133,,168443,,89844,4052,,,,0
357,HD 10180 f,0.0743252,0.49279,122.72,0.133,265,2454027.553,2.95,2MASS J01375356-6030414,10180,,7599,,,,,
358,HD 45350 b,1.83614,1.94413,963.6,0.778,343.4,2451825.3,58,,45350,,30860,,,,,0
359,HD 69830 c,0.0367709,0.185072,31.559999,0.13,221,2453469.6,2.66,,69830,3259,40693,302,,,,0
360,Kepler-21 b,0,0.0427173,2.785755,0,90,2455093.8,,KOI-975,179070,,94112,,,0.1459,0,3.83154
361,HD 47186 b,0.071203,0.0498411,4.0845,0.038,59,2454566.95,9.12,,47186,,31540,,,,,0
362,KELT-3 b,1.454,0.0412729,2.70339,0,90,2456024.23,179.6,2MASS J09543439+4023170,,,,,,1.358,0.721,3.29278
363,Kepler-51 c,,0.379271,85.3128662,,,,,KOI-620,,,,,,0.508958,,
364,HD 148427 b,1.14357,1.03886,331.5,0.16,277,2453991,27.7,,148427,,80687,,,,,0
365,epsilon Tau b,7.67663,1.93647,594.90002,0.151,94.4,2452879,95.9,,28305,1409,20889,,,,,0
366,Kepler-11 e,0.0264262,0.19466,31.9996,0.012,90,2455595.076,,KOI-157,,,,,,0.373377,0.58,3.43801
367,HD 208487 b,0.5122,0.520765,130.08,0.24,113,2450999,19.7,,208487,,108375,,,,,0
368,epsilon Eri b,1.05448,3.37558,2500,0.25,6,2448940,18.6,,22049,1084,16537,144,,,,0
369,Kepler-69 c,,0.709354,242.4613,0.14,,2454843.964,,KOI-172,,,,,,0.15242,,
370,HD 20782 b,1.9,1.36607,591.9,0.97,147.7,2451083.8,185.3,,20782,,15527,,,,,0
371,HD 190360 c,0.0589738,0.129216,17.111027,0.23747,5.18038,2454389.63,4.84311,GJ 777 A,190360,7670,98767,777,,,,0
372,Kepler-23 c,0,0.0986522,10.7421,0,90,2454966.293,,KOI-168,,,,,,0.28523,,
373,HD 65216 b,1.21636,1.37427,613.09998,0.41,198,2450762,33.7,,65216,,38558,,,,,0
374,Kepler-42 b,,0.0112809,1.2137672,,,,,KOI-961,,,,,,0.0695249,,
375,HAT-P-13 b,0.8514,0.0426946,2.91625,0.0133,210,2454777.975,106.04,,,,,,,1.281,0.499,3.10532
376,GJ 3634 b,0.0221881,0.0286881,2.64561,0.08,84,2455390.417,5.57,2MASS J10583513-3108382,,,,,,,,
377,Kepler-9 b,0.248865,0.140548,19.243158,0.150841,18.5551,2455089.7,19.09,KOI-377,,,,,,0.842,0.524,2.93786
378,HD 130322 b,1.04309,0.0896052,10.7085,0.011,145,2453995,108.3,,130322,,72339,,,,,0
379,omega Ser b,1.70083,1.07698,277.02,0.106,132,2450022,31.8,2MASS J17412488-1252311,141680,5888,77578,,,,,
380,HD 16175 b,4.37946,2.1185,990,0.6,222,2453810,94,,16175,,12191,,,,,0
381,HD 46375 b,0.227201,0.0399038,3.023573,0.063,114,2451071.53,33.65,,46375,,31246,,,,,0
382,Kepler-48 c,,0.0854683,9.6739283,,,,,KOI-148,,,,,,0.279882,,
383,Kepler-60 d,,0.105629,11.9016171,,,,,KOI-2086,,,,,,0.227293,,
384,Kepler-14 b,8.40643,0.0806879,6.790123,0.0350051,89.0179,2454971.07,682.9,KOI-98,,,,,,1.136,7.1,4.18266
385,CoRoT-13 b,1.3102,0.051069,4.03519,0,90,2444790.809,157.8,2MASS J06505307-0505112,,,,,,0.885,2.34,3.60469
386,HD 98219 b,2.12353,1.32398,436.9,0,47,2455140,41.2,2MASS J11174756-2358315,98219,,55174,,,,,
387,HD 11964 b,0.608106,3.1288,1944.5898,0.041,154.961,2454170.722,9.41101,,11964,,9094,81.1,,,,0
388,HAT-P-34 b,3.32973,0.0677467,5.452654,0.441,20,2455431.596,343.1,2MASS J20124688+1806175,351766,,,,,1.197,2.4,3.76015
389,MOA-2010-BLG-477L b,,,,,,,,,,,,,,,,
390,Kepler-31 b,,0.158038,20.8613,0,90,2454992.141,,KOI-935,,,,,,0.383278,,
391,Kepler-85 c,,0.102591,12.513,,,,,KOI-2038,,,,,,0.194,,
392,HD 139357 b,10.0754,2.34618,1125.7,0.1,235.4,2452466.7,161.2,,139357,5811,76311,,,,,0
393,HD 1461 b,0.0240044,0.0635202,5.7727,0.14,58,2450366.519,2.7,,1461,72,1499,9009,,,,
394,HAT-P-30 b,0.706657,0.0419042,2.810595,0.035,252,2455454.91,88.1,WASP-51,,,,,,1.34,0.37,2.99187
395,Kepler-37 b,,0.102457,13.367308,0,90,2455017.033,,KOI-245,,,,,,0.0270078,,
396,HD 8535 b,0.682196,2.4447,1313,0.15,61,2454537,11.8,2MASS J01233723-4116113,8535,,6511,,,,,
397,HAT-P-28 b,0.627451,0.0433674,3.257215,0.051,233,2455415.602,84.7,2MASS J00520018+3443422,,,,,,1.212,0.44,3.0219
398,HD 4203 b,2.08215,1.16537,431.88,0.519,329.1,2451918.9,60.3,,4203,,3502,,,,,0
399,HD 102956 b,0.951497,0.0810025,6.4948,0.048,12,2455352.26,73.4,2MASS J11512253+5738267,102956,,57820,,,,,
400,Fomalhaut b,,113.443,318498,0.12,,,,alpha PsA,216956,8728,113368,,,1.2,,
401,GJ 176 b,0.0259969,0.0656822,8.7832,0,0,2454399.79,4.12,,285968,,21932,176,,,,0
402,HD 23079 b,2.4433,1.59509,730.6,0.102,55,2450492,54.9,,23079,,17096,,,,,0
403,HD 178911 B b,7.29127,0.344904,71.484,0.114,168.2,2453808.1,343.3,,178911,,94075,,,,,0
404,WASP-58 b,0.890462,0.0562022,5.01718,0,90,2455183.934,110.1,,,,,,,1.37,0.45084,3.06853
405,HD 162020 b,15.2138,0.0756944,8.428198,0.277,28.4,2451990.677,1813,,162020,,87330,,,,,0
406,MOA-bin-1L b,,,,,,,,,,,,,,,,
407,HD 168746 b,0.245103,0.0655505,6.404,0.107,17,2451757.83,28.6,,168746,,90004,,,,,0
408,GJ 876 c,0.612168,0.129574,30.0881,0.25591,48.76,2450577.5,88.34,,,,113020,876,,,,0
409,Kepler-20 c,0.0494862,0.0930411,10.854092,0,6.46982,2454963.325,4.83,KOI-70,,,,,,0.273643,2.91,3.02309
410,Kepler-47 b,,0.267621,49.514,0,,,,KOI-3154,,,,,,0.265621,,
411,HD 215497 b,0.020855,0.0465952,3.93404,0.16,96,2454858.95,2.98,,215497,,112441,,,,,
412,Kepler-62 f,,0.717595,267.291,0.094434,237.995,2455442.463,,KOI-701,,,,,,0.12568,,
413,HD 154345 b,0.956901,4.21377,3341.5588,0.044,68.1543,2452831.223,14.0318,,154345,,83389,651,,,,0
414,Kepler-60 c,,0.0871504,8.9193459,,,,,KOI-2086,,,,,,0.220162,,
415,HD 217107 b,1.40112,0.0750282,7.1268163,0.126686,24.3621,2454395.787,139.204,,217107,8734,113421,,,,,0
416,mu Ara c,1.88907,5.34057,4205.8,0.0985,57.6,2452955.2,21.79,,160691,6585,86796,,,,,0
417,HD 7199 b,0.295018,1.36155,615,0.19,155,2455030,7.76,2MASS J01104719-6611171,7199,,5529,,,,,
418,GJ 433 b,0.0181986,0.0580371,7.3709,0.08,204,2494287,3.11,2MASS J11352695-3232232,,,56528,433,,,,
419,HAT-P-31 b,2.16627,0.0611921,5.005425,0.245,274.3,2454318.48,232.5,2MASS J18060904+2625359,,,,,,1.07,2.18,3.60163
420,OGLE-TR-113 b,1.25508,0.0228946,1.4324752,0,90,2452325.798,267,,,,,,,1.093,1.2,3.41932
421,Kepler-41 b,0.493327,0.0289537,1.855558,0,90,2454970.714,85,KOI-196,,,,,,0.841,1.02,3.23558
422,HD 40307 d,0.028076,0.132422,20.46,0,0,2454532.42,2.55,,40307,,27887,2046,,,,0
423,HD 290327 b,2.54762,3.43052,2443,0.08,268,2455326,41.3,2MASS J05232156-0216391,290327,,25191,,,,,
424,GJ 876 e,0.039229,0.333345,124.26,0.055,239,2450519.598,3.42,2MASS J22531672-1415489,,,113020,876,,,,
425,HD 169830 c,4.06407,3.60184,2102,0.33,252,2452516,54.3,,169830,6907,90485,,,,,0
426,47 UMa c,0.545774,3.57197,2391,0.098,295,2452441,8,,95128,4277,53721,407,,,,0
427,Kepler-85 b,,0.0780663,8.306,,,,,KOI-2038,,,,,,0.176,,
428,HD 63765 b,0.643827,0.94038,358,0.24,122,2454404,20.9,2MASS J07474972-5415509,63765,,38041,,,,,
429,HD 85390 b,0.131884,1.52377,788,0.41,266,2454464.2,3.82,2MASS J09500249-4947250,85390,,48235,,,,,
430,WASP-77 A b,0.119555,0.0240406,1.3600309,0,90,2455870.45,21.9,2MASS J02283722-0703384,,,,,,1.21,1.326,2.35619
431,55 Cnc e,0.0261924,0.0154393,0.736546,0,90,2455568.011,6.3,,75732,3522,43587,324,,0.185565,4.173,3.21356
432,HIP 57274 d,0.528573,1.00678,431.7,0.27,187.2,2455108.116,18.2,2MASS J11444095+3057339,,,57274,,,,,
433,HD 221287 b,3.11535,1.25015,456.10001,0.08,98,2453263,71,,221287,,116084,,,,,0
434,KOI-13 b,,0.0362917,1.7637,0,,2455138.744,,2MASS J19075308+4652061,,,,,,1.83,,
435,HD 192699 b,2.29191,1.12292,345.53,0.129,41.3,2454036.6,49.3,2MASS J20160600+0434509,192699,,99894,,,,,0
436,HD 181342 b,3.14944,1.777,663,0.177,281,2454881,52.3,,181342,,95124,,,,,
437,WASP-8 b,2.13728,0.080153,8.158715,0.31,274.27,2454679.334,222.23,2MASS J23593607-3501530,,,,,,1.038,2.53485,
438,HD 131496 b,2.24115,2.1121,883,0.163,22,2456040,35,2MASS J14532303+1814074,131496,,72845,,,,,
439,PSR B1257+12 c,,0.321369,66.5419,0.0186,250.4,2449768.1,,,,,,,,,,
440,HD 44219 b,0.589265,1.18713,472.3,0.61,147.4,2454585.6,19.4,2MASS J06201431-1043300,44219,,30114,,,,,
441,75 Cet b,2.7597,1.97678,691.9,0.117,165,2452213,38.3,2MASS J02320943-0102055,15779,739,11791,,,,,
442,Kepler-27 b,0,0.10464,15.3348,0,90,2454991.673,,KOI-841,,,,,,0.356538,,
443,Kepler-40 b,2.17681,0.0806644,6.87349,0,90,2455005.52,179,KOI-428,,,,,,1.17,1.68,3.59129
444,HD 220074 b,11.1883,1.60044,672.1,0.14,323,2451158.2,230.8,2MASS J23201439+6158123,220074,8881,115218,,,,,
445,HAT-P-39 b,0.598375,0.0509456,3.54387,0,90,2455208.75,63.6,,,,,,,1.571,0.19,2.77966
446,WASP-26 b,1.00876,0.0399686,2.7566,0,90,2455123.638,135.5,2MASS J00182469-1516022,,,,,,1.32,0.5852,3.15871
447,WASP-71 b,2.24554,0.0463361,2.9036747,0,90,2455738.85,236.4,2MASS J01570320+0045318,,,,,,1.5,0.88842,3.39415
448,HIP 2247 b,5.12319,1.33884,655.6,0.54,112.2,2454627.1,173.3,BD -17 0063,,,2247,,,,,0
449,GJ 876 d,0.0184193,0.0208066,1.93778,0.207,234,2450600.2,6.56,,,,113020,876,,,,0
450,OGLE-TR-56 b,1.35448,0.0238309,1.2119189,0,90,2452072.683,225,,,,,,,1.363,0.68,3.26323
451,HD 38529 b,0.803263,0.1272,14.310195,0.243663,95.3538,2454384.815,57.0213,,38529,1988,27253,,,,,0
452,BD +20 2457 c,6.90191,1.45701,621.99,0.18,126.02,2453866.95,160.03,,,,,,,,,0
453,HD 22781 b,13.8403,1.16847,528.07,0.8191,315.92,2454881.4,726.4,2MASS J03404953+3149345,22781,,17187,,,,,
454,HD 120084 b,4.4772,4.26892,2082,0.66,117,2450774,53,2MASS J13423920+7803521,2952,5184,66903,,,,,
455,MOA-2009-BLG-266L b,,,,,,,,,,,,,,,,
456,HD 20868 b,2.00901,0.947319,380.85,0.75,356.2,2454451.52,100.34,,20868,,15578,,,,,0
457,HAT-P-9 b,0.775153,0.0528645,3.92289,0,90,2454417.908,84.7,,,,,,,1.4,0.35,2.99649
458,Kepler-33 e,,0.213825,31.7844,0,90,2454968.8,,KOI-707,,,,,,0.358929,6.67399,
459,Kepler-19 b,0,0.0845828,9.2869944,0,90,2454959.706,,KOI-84,,,,,,0.197074,5.53257,3.8231
460,HD 107148 b,0.212171,0.270013,48.056,0.05,75,2439969,10.9,,107148,,60081,,,,,0
461,51 Peg b,0.461143,0.0521068,4.230785,0.013,58,2450001.51,55.94,,217014,8729,113357,882,,,,0
462,WASP-60 b,,0.0531041,4.3050011,0,90,2455747.03,,,,,,,,0.86,1.0608,
463,55 Cnc f,0.172877,0.773567,261.2,0.32,139,2450080.911,6.2,,75732,3522,43587,324,,,,
464,HD 212301 b,0.39615,0.034116,2.245715,0,0,2453549.195,59.5,,212301,,110852,,,,,0
465,GJ 504 b,,,,,,,,59 Vir A,115383,5011,64792,,,,,
466,HAT-P-15 b,1.9513,0.0964692,10.863502,0.19,262,2454632.8,180.6,2MASS J04245952+3927382,,,,,,1.072,1.96,3.62282
467,HD 209458 b,0.68851,0.047235,3.52474859,0,0,2452826.629,84.67,,209458,,108859,,,1.359,0.338,2.96343
468,HD 102272 b,4.10898,0.512595,127.58,0.05,118,2452146,155.5,,102272,,57428,,,,,0
469,HD 181433 b,0.0237331,0.0800943,9.3743,0.396,202,2454542,2.94,,181433,,95467,756.1,,,,0
470,HD 187123 b,0.510056,0.042091,3.0965828,0.0102736,24.5363,2454343.116,69.4006,,187123,,97336,,,,,0
