ID,HIP
1,0
2,57548
3,36208
4,105090
5,80824
6,85523
7,106440
8,86214
9,67155
10,33226
11,103039
12,25878
13,29295
14,86990
15,76074
16,71253
17,99240
18,99701
19,74995
20,84140
21,53767
22,80459
23,106106
24,113296
25,51317
26,2021
27,3765
28,73182
29,65859
30,61874
31,85295
32,49986
33,88574
34,33499
35,101180
36,86287
37,113576
38,62452
39,61317
40,23452
41,64924
42,1599
43,57802
44,25578
45,32984
46,99825
47,109388
48,47103
49,56528
50,40501
51,64394
52,23512
53,23932
54,21932
55,29277
56,9786
57,47425
58,86776
59,61629
60,82003
61,86057
62,85665
63,4872
64,29271
65,68184
66,21553
67,57087
68,58345
69,62556
70,68469
71,117828
72,83043
73,108782
74,14632
75,45908
76,48714
77,56244
78,33142
79,54532
80,86400
81,115332
82,29316
83,62687
84,84123
85,16536
86,37217
87,66459
88,57050
89,3093
90,8768
91,21556
92,88972
93,93101
94,48331
95,8051
96,91699
97,26335
98,29052
99,47513
100,67164
101,109555
102,116745
103,428
104,13389
105,20917
106,23708
107,36627
108,47650
109,48659
110,53985
111,73470
112,69454
113,109176
114,11048
115,108569
116,22627
117,102186
118,41926
119,35191
120,49969
121,84790
122,22762
123,43587
124,51007
125,56998
126,102401
127,7918
128,36338
129,40693
130,84051
131,93069
132,46580
133,27887
134,59406
135,85235
136,111313
137,55691
138,58576
139,25623
140,89211
141,91438
142,4569
143,13218
144,31862
145,36915
146,98698
147,106811
148,115562
149,90790
150,66625
151,8070
152,16711
153,61094
154,97292
155,110443
156,15220
157,46769
158,46853
159,111960
160,60910
161,87938
162,110109
163,15638
164,16852
165,19337
166,27188
167,50341
168,67422
169,103441
170,103800
171,52596
172,78353
173,93206
174,109638
175,12097
176,67691
177,79672
178,112774
179,4148
180,52600
181,86087
182,92200
183,47741
184,65714
185,10617
186,25220
187,36985
188,61901
189,104644
190,35353
191,70218
192,79190
193,44722
194,74190
195,96285
196,17609
197,52190
198,99150
199,101997
200,78170
201,106696
202,14445
203,111766
204,37288
205,79431
206,84521
207,108159
208,4022
209,34115
210,59514
211,86796
212,18280
213,34104
214,61706
215,110996
216,113357
217,42762
218,95319
219,27435
220,77349
221,92573
222,111391
223,48477
224,99385
225,114233
226,114411
227,169
228,12929
229,80093
230,436
231,3588
232,49091
233,60303
234,65352
235,82256
236,110400
237,65143
238,85647
239,1463
240,56238
241,61291
242,91608
243,105038
244,105932
245,2120
246,47619
247,52296
248,65520
249,32769
250,43948
251,67742
252,105341
253,108752
254,5812
255,6005
256,32480
257,117383
258,117059
259,92451
260,52186
261,63550
262,65355
263,67960
264,80268
265,54658
266,113718
267,116085
268,72688
269,49973
270,89560
271,92311
272,118200
273,34361
274,46488
275,15366
276,33277
277,92444
278,7978
279,17743
280,25716
281,78459
282,111571
283,18450
284,55066
285,55119
286,63618
287,70319
288,73734
289,100017
290,8691
291,34392
292,56466
293,80644
294,98959
295,57507
296,89042
297,61413
298,80440
299,100223
300,1696
301,1936
302,22451
303,96085
304,40843
305,49699
306,65721
307,83389
308,83541
309,1734
310,54227
311,82283
312,85561
313,40375
314,42881
315,44295
316,15095
317,48113
318,19422
319,78843
320,84616
321,116645
322,33428
323,54373
324,69824
325,75312
326,82834
327,3850
328,32919
329,62471
330,90656
331,7646
332,75201
333,90945
334,98204
335,112800
336,34017
337,82694
338,83101
339,98130
340,46626
341,98677
342,4473
343,23140
344,31555
345,100925
346,110534
347,112978
348,38594
349,73457
350,85042
351,115445
352,36215
353,45333
354,69485
355,9044
356,113421
357,117197
358,35495
359,3261
360,10072
361,62472
362,100490
363,102357
364,112527
365,50808
366,94368
367,27803
368,57361
369,94225
370,21765
371,52708
372,107346
373,113602
374,113605
375,114924
376,33852
377,71311
378,99764
379,66222
380,84195
381,110649
382,27207
383,50505
384,57959
385,97223
386,5286
387,8382
388,105533
389,1532
390,8043
391,11439
392,58451
393,65669
394,70016
395,113850
396,114416
397,14165
398,67808
399,7339
400,48411
401,63366
402,114954
403,1842
404,15332
405,48190
406,114156
407,36551
408,44955
409,49868
410,60475
411,14633
412,18324
413,19948
414,59378
415,65530
416,84212
417,88499
418,4849
419,14587
420,78709
421,80366
422,112190
423,3813
424,39950
425,40239
426,54704
427,64880
428,80612
429,91154
430,96895
431,5410
432,17496
433,17544
434,41484
435,75253
436,90265
437,92417
438,96702
439,687
440,61053
441,87322
442,110980
443,3535
444,5663
445,30503
446,47201
447,3979
448,5215
449,6097
450,50921
451,96113
452,107022
453,114859
454,15099
455,49526
456,1322
457,12493
458,34414
459,44899
460,51468
461,53327
462,69414
463,96710
464,13258
465,102870
466,9749
467,21284
468,36210
469,40035
470,72981
471,83846
472,107772
473,11852
474,82333
475,97051
476,110951
477,5957
478,15673
479,54922
480,89474
481,103256
482,33805
483,54426
484,55718
485,96121
486,98316
487,3143
488,13642
489,66193
490,72875
491,104137
492,111983
493,3008
494,46417
495,53580
496,101574
497,8275
498,29432
499,39064
500,59748
501,67795
502,9829
503,19233
504,63257
505,63882
506,89490
507,108092
508,108567
509,39780
510,40774
511,738
512,1499
513,15360
514,40910
515,52369
516,56199
517,90959
518,93185
519,98106
520,103544
521,45637
522,46549
523,78913
524,85126
525,105911
526,112117
527,112388
528,70308
529,70873
530,116936
531,28153
532,102766
533,107625
534,116491
535,12961
536,18115
537,24472
538,58688
539,59616
540,68337
541,4443
542,34222
543,70849
544,72493
545,6344
546,33373
547,35943
548,54803
549,60310
550,74273
551,84607
552,93072
553,1276
554,31126
555,33537
556,45839
557,63406
558,67842
559,72387
560,114886
561,6008
562,12158
563,63762
564,66886
565,67761
566,81813
567,93871
568,99316
569,113244
570,115058
571,40170
572,79492
573,80229
574,90376
575,99880
576,118261
577,44263
578,64550
579,37798
580,51933
581,57493
582,57494
583,60093
584,36635
585,117886
586,29548
587,55507
588,66587
589,73100
590,29067
591,60866
592,73631
593,84487
594,92756
595,117559
596,10723
597,21223
598,73252
599,74261
600,110774
601,17207
602,35872
603,45116
604,54513
605,75798
606,77268
607,106972
608,112245
609,48509
610,55052
611,61099
612,90864
613,94981
614,39494
615,51928
616,57866
617,74605
618,116838
619,1608
620,36853
621,75266
622,83363
623,90979
624,102226
625,105675
626,110066
627,117697
628,118310
629,897
630,10312
631,27075
632,32939
633,42418
634,51473
635,73362
636,111170
637,400
638,2711
639,5027
640,6405
641,19333
642,39710
643,54288
644,64113
645,81348
646,96258
647,109756
648,2540
649,3757
650,12926
651,22424
652,29761
653,30104
654,67092
655,103650
656,112452
657,11783
658,33322
659,59816
660,63467
661,118278
662,17346
663,17458
664,19655
665,43667
666,57274
667,58321
668,13388
669,22787
670,24332
671,58374
672,71481
673,73194
674,93248
675,11759
676,13601
677,22288
678,68634
679,75672
680,102301
681,102332
682,1444
683,4223
684,48133
685,49127
686,54400
687,62942
688,95467
689,116819
690,62107
691,64150
692,87745
693,114941
694,6342
695,10505
696,28908
697,67756
698,72044
699,77409
700,81385
701,99550
702,108523
703,113552
704,5938
705,13398
706,22336
707,85026
708,88962
709,103682
710,5110
711,11558
712,26113
713,27918
714,99699
715,112496
716,17978
717,34796
718,42601
719,58293
720,60729
721,64475
722,67986
723,77518
724,102616
725,111978
726,115955
727,117463
728,8543
729,11000
730,18097
731,21272
732,34341
733,37494
734,44109
735,50782
736,56489
737,68551
738,82389
739,89087
740,54418
741,67601
742,74653
743,87116
744,90626
745,99916
746,116497
747,6414
748,26175
749,28790
750,31148
751,41130
752,51138
753,56802
754,115302
755,14729
756,40438
757,73547
758,82357
759,113409
760,21960
761,64219
762,85268
763,91949
764,112918
765,10031
766,37061
767,50944
768,116443
769,12723
770,13065
771,34785
772,39612
773,55779
774,70170
775,82169
776,99205
777,117795
778,120148
779,2426
780,4067
781,30067
782,42291
783,93540
784,10712
785,13342
786,65640
787,66954
788,94701
789,1954
790,26834
791,31134
792,32723
793,64895
794,97767
795,111288
796,113884
797,5369
798,75710
799,11349
800,58114
801,64262
802,102115
803,105791
804,108020
805,112763
806,117880
807,30112
808,31083
809,64295
810,96339
811,117492
812,3378
813,33719
814,49889
815,83797
816,90466
817,97805
818,99572
819,71530
820,76793
821,90223
822,33848
823,67408
824,73066
825,75363
826,92569
827,20142
828,21710
829,24243
830,28634
831,32043
832,59496
833,61379
834,81746
835,50226
836,79066
837,103673
838,10301
839,13891
840,43969
841,47890
842,105885
843,5260
844,9603
845,10960
846,25396
847,34423
848,36285
849,69090
850,71824
851,74981
852,92270
853,114455
854,6339
855,9788
856,27244
857,51157
858,61872
859,90611
860,100133
861,106407
862,25662
863,39293
864,43177
865,52521
866,60605
867,73481
868,78955
869,88194
870,107038
871,113755
872,2742
873,26542
874,71251
875,4468
876,5041
877,37978
878,65602
879,79512
880,83343
881,2790
882,46087
883,48953
884,62406
885,76202
886,88961
887,110716
888,15563
889,22431
890,59534
891,68403
892,77098
893,80683
894,117953
895,5224
896,9187
897,10500
898,25094
899,31142
900,45737
901,55132
902,81800
903,91326
904,4061
905,17265
906,36249
907,64441
908,89449
909,107758
910,117147
911,17956
912,21571
913,22638
914,29611
915,32076
916,81681
917,102970
918,109816
919,5985
920,7276
921,7829
922,12144
923,15312
924,24210
925,35851
926,49555
927,50960
928,60207
929,73427
930,87925
931,89620
932,95890
933,20800
934,72339
935,77790
936,89728
937,108930
938,112426
939,10037
940,19301
941,30711
942,67291
943,93797
944,109245
945,114322
946,38325
947,51443
948,57949
949,76330
950,85436
951,86765
952,97156
953,6037
954,10306
955,35937
956,53637
957,91287
958,14623
959,60343
960,79456
961,84203
962,102203
963,109166
964,111648
965,13345
966,15725
967,17365
968,26974
969,28935
970,57271
971,65574
972,66643
973,69303
974,80053
975,106794
976,37177
977,43745
978,73512
979,82408
980,93195
981,115648
982,15406
983,20232
984,24069
985,44821
986,62345
987,63157
988,65121
989,82440
990,83676
991,103820
992,114790
993,11949
994,21865
995,41443
996,42507
997,50606
998,54002
999,54105
1000,54541
1001,62016
1002,67246
1003,75090
1004,80597
1005,81288
1006,83193
1007,98105
1008,101579
1009,104587
1010,5763
1011,20359
1012,55915
1013,72577
1014,10977
1015,11548
1016,22349
1017,102495
1018,113896
1019,8701
1020,37622
1021,50473
1022,57992
1023,76114
1024,76716
1025,79698
1026,96536
1027,97358
1028,109807
1029,111566
1030,113124
1031,20240
1032,21756
1033,40848
1034,42011
1035,42567
1036,49359
1037,50773
1038,57058
1039,60357
1040,6390
1041,42914
1042,44341
1043,44920
1044,4824
1045,12109
1046,21847
1047,31069
1048,36546
1049,53818
1050,67133
1051,81030
1052,85425
1053,111686
1054,112610
1055,7346
1056,13079
1057,19834
1058,23555
1059,29673
1060,46493
1061,61391
1062,87457
1063,103636
1064,107941
1065,68
1066,16012
1067,48016
1068,57841
1069,77718
1070,9553
1071,14501
1072,24419
1073,39685
1074,108481
1075,14592
1076,29132
1077,55486
1078,57688
1079,78395
1080,89656
1081,96370
1082,28494
1083,38392
1084,45876
1085,58863
1086,59639
1087,104565
1088,1674
1089,17187
1090,22602
1091,32530
1092,49350
1093,61016
1094,63816
1095,88371
1096,99322
1097,110341
1098,116250
1099,3559
1100,8453
1101,44907
1102,81633
1103,99332
1104,108947
1105,113221
1106,44259
1107,50316
1108,52535
1109,54287
1110,88942
1111,101844
1112,111349
1113,114885
1114,5647
1115,13363
1116,16581
1117,19325
1118,23198
1119,48139
1120,51257
1121,55254
1122,87607
1123,47547
1124,84489
1125,113026
1126,113280
1127,16085
1128,47098
1129,56181
1130,59947
1131,70500
1132,82267
1133,107062
1134,107931
1135,118086
1136,3340
1137,5335
1138,20781
1139,57217
1140,67069
1141,81407
1142,84452
1143,100412
1144,616
1145,8361
1146,22717
1147,57021
1148,57099
1149,66283
1150,78184
1151,82092
1152,8159
1153,30579
1154,38041
1155,43313
1156,46677
1157,50375
1158,59321
1159,79941
1160,115013
1161,10421
1162,19981
1163,33736
1164,52776
1165,54582
1166,58949
1167,73934
1168,82739
1169,87523
1170,88324
1171,88511
1172,22576
1173,66110
1174,69881
1175,73365
1176,85158
1177,101507
1178,101593
1179,104225
1180,4691
1181,30552
1182,56363
1183,57055
1184,59135
1185,66618
1186,71190
1187,86661
1188,113771
1189,29875
1190,63353
1191,63421
1192,65808
1193,81827
1194,101966
1195,112768
1196,115752
1197,6613
1198,30545
1199,30888
1200,38969
1201,66678
1202,73245
1203,76200
1204,78336
1205,112652
1206,118160
1207,43304
1208,61363
1209,70472
1210,75675
1211,90272
1212,91700
1213,93731
1214,98878
1215,102486
1216,116976
1217,1085
1218,19788
1219,54212
1220,60448
1221,69536
1222,103581
1223,113044
1224,7794
1225,8224
1226,21489
1227,31246
1228,38179
1229,38492
1230,48740
1231,52765
1232,56570
1233,80751
1234,87382
1235,104738
1236,110714
1237,49046
1238,51297
1239,81465
1240,85017
1241,104197
1242,107865
1243,184
1244,7539
1245,10810
1246,12787
1247,15720
1248,16560
1249,19441
1250,29810
1251,42401
1252,44097
1253,62859
1254,67103
1255,68745
1256,70756
1257,79377
1258,101905
1259,109421
1260,111958
1261,10335
1262,15539
1263,21436
1264,41609
1265,56367
1266,67211
1267,83770
1268,87182
1269,92755
1270,104610
1271,6558
1272,26013
1273,48718
1274,49000
1275,51884
1276,64984
1277,74148
1278,79048
1279,96861
1280,10276
1281,11083
1282,18090
1283,59925
1284,112504
1285,7733
1286,9094
1287,25189
1288,40133
1289,40419
1290,48235
1291,50796
1292,97405
1293,112703
1294,2397
1295,5741
1296,10599
1297,16310
1298,33229
1299,36102
1300,40724
1301,53114
1302,56578
1303,65302
1304,73360
1305,77444
1306,77881
1307,84322
1308,2604
1309,13790
1310,35173
1311,39392
1312,66918
1313,70557
1314,98589
1315,11443
1316,13594
1317,51073
1318,72742
1319,78423
1320,95962
1321,101856
1322,103576
1323,110812
1324,112523
1325,11739
1326,21934
1327,31626
1328,57092
1329,82370
1330,92798
1331,108468
1332,19117
1333,19416
1334,45042
1335,54697
1336,115860
1337,17096
1338,24886
1339,29063
1340,32544
1341,36637
1342,43310
1343,55251
1344,74682
1345,78562
1346,116937
1347,19739
1348,42783
1349,51263
1350,55900
1351,61939
1352,95903
1353,106305
1354,39127
1355,41795
1356,58560
1357,67282
1358,75753
1359,100047
1360,110258
1361,7228
1362,7396
1363,18758
1364,73309
1365,73717
1366,74730
1367,79359
1368,93398
1369,111078
1370,21539
1371,44387
1372,86991
1373,93350
1374,93613
1375,104329
1376,116050
1377,23286
1378,37312
1379,38324
1380,38998
1381,102521
1382,103019
1383,104304
1384,107895
1385,115715
1386,17794
1387,18965
1388,23884
1389,44569
1390,49728
1391,54199
1392,73258
1393,94154
1394,1078
1395,7822
1396,14241
1397,45749
1398,73593
1399,88913
1400,25616
1401,69311
1402,70317
1403,77963
1404,83373
1405,84171
1406,90061
1407,114044
1408,11707
1409,25351
1410,35377
1411,36976
1412,61704
1413,73183
1414,108525
1415,113423
1416,116213
1417,117247
1418,11317
1419,27527
1420,38558
1421,50355
1422,52339
1423,62847
1424,69595
1425,114424
1426,12288
1427,29716
1428,39515
1429,50802
1430,65737
1431,99014
1432,107700
1433,37284
1434,46018
1435,51568
1436,57572
1437,74255
1438,106704
1439,110843
1440,111274
1441,5529
1442,12048
1443,15526
1444,18538
1445,19959
1446,36352
1447,57039
1448,58380
1449,66074
1450,78983
1451,90706
1452,112678
1453,8972
1454,10874
1455,15527
1456,42922
1457,53186
1458,58536
1459,67237
1460,73056
1461,82434
1462,91862
1463,98413
1464,115849
1465,24829
1466,30905
1467,58950
1468,71135
1469,78330
1470,79862
1471,83827
1472,98764
1473,116374
1474,116429
1475,11862
1476,13460
1477,23831
1478,31143
1479,46478
1480,53747
1481,54100
1482,66194
1483,69570
1484,79658
1485,103766
1486,109343
1487,6639
1488,13644
1489,34804
1490,42123
1491,42371
1492,56326
1493,61436
1494,70610
1495,74161
1496,77301
1497,83435
1498,92388
1499,114746
1500,934
1501,1044
1502,11427
1503,20342
1504,31552
1505,36347
1506,58073
1507,59743
1508,70459
1509,78921
1510,91644
1511,95821
1512,97657
1513,100492
1514,7404
1515,27246
1516,36512
1517,46933
1518,52705
1519,54056
1520,65636
1521,89892
1522,98007
1523,1382
1524,32754
1525,42108
1526,49130
1527,64057
1528,70656
1529,78089
1530,78883
1531,82260
1532,108216
1533,7357
1534,17364
1535,37488
1536,42910
1537,45940
1538,65269
1539,78430
1540,79969
1541,85912
1542,95932
1543,112637
1544,26737
1545,42196
1546,48754
1547,53731
1548,54614
1549,75337
1550,79152
1551,91905
1552,96735
1553,111
1554,15776
1555,22961
1556,57083
1557,64109
1558,89497
1559,117011
1560,6455
1561,8881
1562,9911
1563,20630
1564,21172
1565,26196
1566,28905
1567,32874
1568,34879
1569,42281
1570,45995
1571,55192
1572,58067
1573,61476
1574,67798
1575,84315
1576,85019
1577,85533
1578,85960
1579,2725
1580,11906
1581,29804
1582,49756
1583,74243
1584,76282
1585,88553
1586,91360
1587,107936
1588,112524
1589,115381
1590,116395
1591,3533
1592,10510
1593,12065
1594,31079
1595,57346
1596,61947
1597,65674
1598,86938
1599,97337
1600,101846
1601,103654
1602,12631
1603,13754
1604,20093
1605,53087
1606,72604
1607,81201
1608,114135
1609,21352
1610,23563
1611,35739
1612,54530
1613,56837
1614,61313
1615,64428
1616,105204
1617,114291
1618,2247
1619,11182
1620,14964
1621,24864
1622,45301
1623,53471
1624,74118
1625,115417
1626,116905
1627,2832
1628,8865
1629,15035
1630,39546
1631,44252
1632,44713
1633,78947
1634,79419
1635,81186
1636,89924
1637,92759
1638,97370
1639,98621
1640,4024
1641,8798
1642,17255
1643,26807
1644,35246
1645,35755
1646,64763
1647,76374
1648,78024
1649,81421
1650,82042
1651,87803
1652,105606
1653,107225
1654,112095
1655,18322
1656,19912
1657,21383
1658,26380
1659,31540
1660,40452
1661,44687
1662,49668
1663,49806
1664,66828
1665,69163
1666,76203
1667,81862
1668,91638
1669,111880
1670,6796
1671,17719
1672,21731
1673,48680
1674,81598
1675,83941
1676,84028
1677,86419
1678,90246
1679,102664
1680,107233
1681,113238
1682,114028
1683,17852
1684,19510
1685,22281
1686,22905
1687,47110
1688,50267
1689,62527
1690,66047
1691,88414
1692,493
1693,35642
1694,58212
1695,65133
1696,70695
1697,79322
1698,83010
1699,100455
1700,9762
1701,25905
1702,40131
1703,64059
1704,68160
1705,90539
1706,102964
1707,15286
1708,24457
1709,35091
1710,36160
1711,51874
1712,68936
1713,74893
1714,86616
1715,103138
1716,23259
1717,32806
1718,35198
1719,53685
1720,58289
1721,59143
1722,60648
1723,61097
1724,61797
1725,73138
1726,81730
1727,117404
1728,5806
1729,10842
1730,13179
1731,17689
1732,23443
1733,99344
1734,112389
1735,3578
1736,18527
1737,29374
1738,36037
1739,45801
1740,55014
1741,60644
1742,69400
1743,73449
1744,112414
1745,115777
1746,4103
1747,7687
1748,43756
1749,44719
1750,44953
1751,54569
1752,55459
1753,56092
1754,87010
1755,103787
1756,495
1757,8346
1758,8987
1759,18432
1760,51197
1761,58397
1762,68116
1763,92742
1764,100280
1765,13902
1766,38702
1767,41317
1768,54536
1769,58083
1770,60265
1771,66987
1772,79308
1773,82820
1774,88617
1775,116334
1776,19976
1777,23248
1778,23384
1779,33580
1780,60930
1781,73314
1782,78547
1783,85137
1784,103832
1785,8728
1786,17264
1787,21158
1788,79524
1789,88531
1790,102610
1791,103678
1792,106213
1793,112506
1794,112974
1795,5031
1796,10818
1797,13412
1798,22940
1799,24777
1800,33287
1801,35096
1802,41847
1803,45699
1804,49580
1805,65632
1806,66139
1807,72223
1808,117681
1809,117958
1810,10050
1811,20084
1812,27058
1813,38422
1814,49324
1815,49910
1816,57645
1817,65120
1818,6653
1819,7599
1820,12119
1821,30045
1822,43880
1823,45822
1824,59776
1825,67058
1826,71193
1827,75398
1828,88353
1829,110156
1830,112843
1831,18106
